event_id,user_id,product_id,event_type,session_id,device_type,create_time
1,1,1,view,session_001,mobile,2026-02-01 09:00:00
2,1,1,cart,session_001,mobile,2026-02-01 09:05:00
3,1,1,checkout,session_001,mobile,2026-02-01 09:55:00
4,1,1,review,session_001,mobile,2026-02-01 10:10:00
5,2,2,view,session_002,desktop,2026-02-01 10:10:00
6,2,2,cart,session_002,desktop,2026-02-01 10:12:00
7,2,2,checkout,session_002,desktop,2026-02-01 10:14:00
8,3,3,view,session_003,mobile,2026-02-01 10:30:00
9,3,3,cart,session_003,mobile,2026-02-01 10:35:00
10,3,3,checkout,session_003,mobile,2026-02-01 10:55:00
11,4,4,view,session_004,tablet,2026-02-01 11:00:00
12,4,4,wishlist,session_004,tablet,2026-02-01 11:10:00
13,5,5,view,session_005,mobile,2026-02-01 12:00:00
14,5,5,cart,session_005,mobile,2026-02-01 12:10:00
15,5,5,checkout,session_005,mobile,2026-02-01 12:50:00
