order_id,user_id,product_id,amount,quantity,status,create_time,pay_time
1,1,1,5999.00,1,paid,2026-02-01 10:00:00,2026-02-01 10:05:00
2,2,2,8999.00,1,paid,2026-02-01 10:15:00,2026-02-01 10:20:00
3,3,3,199.00,2,paid,2026-02-01 11:00:00,2026-02-01 11:10:00
4,4,4,299.00,1,cancelled,2026-02-01 12:00:00,
5,5,5,1599.00,1,paid,2026-02-01 13:00:00,2026-02-01 13:15:00
6,6,1,5999.00,1,paid,2026-02-01 14:00:00,2026-02-01 14:10:00
7,7,2,8999.00,1,shipped,2026-02-01 15:00:00,2026-02-01 15:05:00
8,8,3,199.00,3,paid,2026-02-01 16:00:00,2026-02-01 16:10:00
9,9,4,299.00,1,pending,2026-02-01 17:00:00,
10,10,5,1599.00,1,paid,2026-02-02 09:00:00,2026-02-02 09:10:00
11,11,6,399.00,2,paid,2026-02-02 10:00:00,2026-02-02 10:15:00
12,12,7,599.00,1,paid,2026-02-02 11:00:00,2026-02-02 11:05:00
13,13,8,1299.00,1,delivered,2026-02-02 12:00:00,2026-02-02 12:10:00
14,14,9,99.00,5,paid,2026-02-02 13:00:00,2026-02-02 13:05:00
15,15,10,2999.00,1,paid,2026-02-02 14:00:00,2026-02-02 14:20:00
